algorithm,time,samplesInsertionSort,1337,30000
MergeSort,2345,30000
QuickSort,0,30000
SelectonSort,1489,30000
InsertionSort,1397,31000
MergeSort,1816,31000
QuickSort,0,31000
SelectonSort,1660,31000
InsertionSort,942,32000
MergeSort,2059,32000
QuickSort,0,32000
SelectonSort,1763,32000
InsertionSort,940,33000
MergeSort,2054,33000
QuickSort,0,33000
SelectonSort,1829,33000
InsertionSort,985,34000
MergeSort,2221,34000
QuickSort,0,34000
SelectonSort,1888,34000
InsertionSort,1065,35000
MergeSort,2200,35000
QuickSort,0,35000
SelectonSort,2065,35000
InsertionSort,1048,36000
MergeSort,2415,36000
QuickSort,0,36000
SelectonSort,2189,36000
InsertionSort,1193,37000
MergeSort,2647,37000
QuickSort,0,37000
SelectonSort,2486,37000
InsertionSort,1229,38000
MergeSort,2647,38000
QuickSort,0,38000
SelectonSort,2534,38000
InsertionSort,1326,39000
MergeSort,2785,39000
QuickSort,0,39000
SelectonSort,2703,39000
InsertionSort,1552,40000
MergeSort,3299,40000
QuickSort,0,40000
SelectonSort,2704,40000
InsertionSort,1409,41000
MergeSort,3420,41000
QuickSort,0,41000
SelectonSort,2883,41000
InsertionSort,1783,42000
MergeSort,3377,42000
QuickSort,0,42000
SelectonSort,3033,42000
InsertionSort,1761,43000
MergeSort,3546,43000
QuickSort,0,43000
SelectonSort,2990,43000
InsertionSort,1992,44000
MergeSort,3951,44000
QuickSort,0,44000
SelectonSort,3234,44000
InsertionSort,2014,45000
MergeSort,3932,45000
QuickSort,0,45000
SelectonSort,3202,45000
InsertionSort,1821,46000
MergeSort,4056,46000
QuickSort,0,46000
SelectonSort,3650,46000
InsertionSort,2027,47000
MergeSort,4198,47000
QuickSort,0,47000
SelectonSort,3632,47000
InsertionSort,2039,48000
MergeSort,4285,48000
QuickSort,0,48000
SelectonSort,3729,48000
InsertionSort,2326,49000
MergeSort,4819,49000
QuickSort,0,49000
SelectonSort,3979,49000
InsertionSort,2313,50000
MergeSort,4762,50000
QuickSort,0,50000
SelectonSort,3976,50000
InsertionSort,2368,51000
MergeSort,4969,51000
QuickSort,0,51000
SelectonSort,4267,51000
InsertionSort,2608,52000
MergeSort,5031,52000
QuickSort,0,52000
SelectonSort,4291,52000
InsertionSort,2459,53000
MergeSort,5222,53000
QuickSort,0,53000
SelectonSort,4646,53000
InsertionSort,2926,54000
MergeSort,5349,54000
QuickSort,0,54000
SelectonSort,5101,54000
InsertionSort,3041,55000
MergeSort,6168,55000
QuickSort,0,55000
SelectonSort,5294,55000
InsertionSort,3089,56000
MergeSort,5748,56000
QuickSort,0,56000
SelectonSort,5569,56000
InsertionSort,2979,57000
MergeSort,6454,57000
QuickSort,0,57000
SelectonSort,5272,57000
InsertionSort,3367,58000
MergeSort,6907,58000
QuickSort,0,58000
SelectonSort,5699,58000
InsertionSort,3157,59000
MergeSort,7134,59000
QuickSort,0,59000
