algorithm,time,samplesInsertionSort,1337,30000
SelectonSort,12894,87000
InsertionSort,7890,88000
MergeSort,15600,88000
QuickSort,0,88000
SelectonSort,12660,88000
InsertionSort,8054,89000
MergeSort,16021,89000
QuickSort,0,89000
SelectonSort,13261,89000
InsertionSort,8867,90000
MergeSort,18421,90000
QuickSort,0,90000
SelectonSort,13243,90000
InsertionSort,7968,91000
MergeSort,17107,91000
QuickSort,0,91000
SelectonSort,14062,91000
InsertionSort,8330,92000
MergeSort,17711,92000
QuickSort,0,92000
SelectonSort,13953,92000
InsertionSort,8862,93000
MergeSort,17869,93000
QuickSort,0,93000
SelectonSort,14395,93000
InsertionSort,10498,94000
MergeSort,18508,94000
QuickSort,0,94000
SelectonSort,14825,94000
InsertionSort,8783,95000
MergeSort,21095,95000
QuickSort,0,95000
SelectonSort,14799,95000
InsertionSort,8965,96000
MergeSort,20232,96000
QuickSort,0,96000
SelectonSort,16653,96000
InsertionSort,10413,97000
MergeSort,20764,97000
QuickSort,0,97000
SelectonSort,16670,97000
InsertionSort,9556,98000
MergeSort,23659,98000
QuickSort,0,98000
SelectonSort,16971,98000
InsertionSort,10826,99000
MergeSort,24128,99000
QuickSort,0,99000
SelectonSort,16688,99000
InsertionSort,10953,100000
MergeSort,23125,100000
QuickSort,0,100000
SelectonSort,17594,100000
